exception_text,label
Motor failure in unit 266,Pressure
Pressure system malfunction at node 596,Pressure
Pressure dropped below threshold in chamber 679,Operator
Unexpected particles found in batch 336,Contamination
Unexpected sensor spike in process 370,Sensor
Production halted due to jam on line 530,Production
Motor failure in unit 980,Motor
Operator failed to document action in batch 588,Operator
Pressure dropped below threshold in chamber 955,Pressure
Biological contamination reported in lab 837,Contamination
Inventory mismatch reported at warehouse 604,Logistics
Calibration error detected in device 300,Calibration
Pressure system malfunction at node 45,Pressure
Inconsistent pressure readings in valve 346,Pressure
Motor failure in unit 204,Motor
Operator failed to document action in batch 616,Operator
Unexpected motor shutdown on machine 341,Motor
Specification limits breached at point 589,Specification
Pressure dropped below threshold in chamber 777,Pressure
Motor overheating issue reported at 761,Motor
System diagnostics failed at stage 860,System
Pressure system malfunction at node 664,Pressure
Delay in raw material delivery 861,Logistics
Contaminated material detected in lot 896,Contamination
Pressure dropped below threshold in chamber 197,Pressure
Incorrect calibration values on test 999,Calibration
Sensor data not recorded for line 858,Sensor
Delay in raw material delivery 146,Logistics
Motor failure in unit 766,Motor
Operator failed to document action in batch 93,Operator
Operator failed to document action in batch 276,Operator
Temperature sensor failed during batch 202,Sensor
Incorrect shipment logged for delivery 507,Logistics
Unexpected sensor spike in process 824,Sensor
Pressure dropped below threshold in chamber 813,Pressure
Manual override by operator caused error in 773,Operator
Operator missed critical step in process 750,Operator
Manual override by operator caused error in 975,Operator
Incorrect shipment logged for delivery 86,Logistics
Contaminated material detected in lot 966,Contamination
System diagnostics failed at stage 322,System
Irregular production flow at station 131,Production
Delay in raw material delivery 446,Logistics
Incorrect calibration values on test 313,Calibration
Biological contamination reported in lab 894,Contamination
Software error in automated control system 617,System
Temperature sensor failed during batch 659,Sensor
Pressure system malfunction at node 7,Pressure
Production halted due to jam on line 893,Production
Irregular production flow at station 671,Production
Motor overheating issue reported at 442,Motor
Production halted due to jam on line 790,Production
Incorrect shipment logged for delivery 987,Logistics
Deviation from specification recorded in batch 347,Specification
Material outside specification detected in 114,Specification
Specification limits breached at point 882,Specification
Pressure system malfunction at node 841,Pressure
Incorrect shipment logged for delivery 518,Logistics
Pressure system malfunction at node 145,Pressure
Unexpected motor shutdown on machine 194,Motor
System crash during data logging 704,System
